44,Alnylam Pharmaceuticals,ALNY,300.62,Biopharmaceuticals,https://finviz.com/quote?t=ALNY&p=d,ALNY - Alnylam Pharmaceuticals Inc Stock Price and Quote
45,Sandoz Group AG,D8Y,73.25,Pharmaceuticals,,
46,Waters,WAT,355.16,Manufacturing,https://finviz.com/quote?t=WAT&p=d,WAT - Waters Corp Stock Price and Quote
47,Medline Inc.,MDLN,42.3,Medical Supply Company,https://finviz.com/quote?t=MDLN&p=d,MDLN - Medline Inc Stock Price and Quote
48,Agilent Technologies,A,118.35,Medical Diagnostics,https://finviz.com/quote?t=A&p=d,A - Agilent Technologies Inc Stock Price and Quote
49,Alcon,ALC,65.68,Eye Care,https://finviz.com/quote?t=ALC&p=d,ALC - Alcon Inc Stock Price and Quote
50,Revolution Medicines Inc,RVMD,142.53,Biotechnology,https://finviz.com/quote?t=RVMD&p=d,RVMD - Revolution Medicines Inc Stock Price and Quote
51,Daiichi Sankyo Co. Ltd.,D4S,14.1,Global Pharmaceutical Firm,,
52,Natera,NTRA,217,Genetic testing,https://finviz.com/quote?t=NTRA&p=d,NTRA - Natera Inc Stock Price and Quote
53,ResMed,RMD,212.52,Medical Devices,https://finviz.com/quote?t=RMD&p=d,RMD - Resmed Inc Stock Price and Quote
54,Insmed,INSM,105.7,Biotechnology V,https://finviz.com/quote?t=INSM&p=d,INSM - Insmed Inc Stock Price and Quote
55,“lumana,HUM,241.72,Health Insurance,https://finviz.com/quote?t=HUM&p=d,HUM - Humana Inc Stock Price and Quote
56,IQVIA Holdings,IQV,181.9,Healthcare,https://finviz.com/quote?t=IQV&p=d,IQV - IQVIA Holdings Inc Stock Price and Quote
57,Biogen,BIIB,190.5,Biotechnology,https://finviz.com/quote?t=BIIB&p=d,BIIB - Biogen Inc Stock Price and Quote
58,GE Healthcare Technology,GEHC,62.2,Healthcare,https://finviz.com/quote?t=GEHC&p=d,GEHC - GE HealthCare Technologies Inc Stock Price and Quote
59,CENTENE Centene,CNC,54.94,Health Insurance v,https://finviz.com/quote?t=CNC&p=d,CNC - Centene Corp Stock Price and Quote
60,Fresenius SE & Co. KGaA,FRE,40.58,Healthcare v,,
61,United Therapeutics,UTHR,546.22,Biotechnology v,https://finviz.com/quote?t=UTHR&p=d,UTHR - United Therapeutics Corp Stock Price and Quote
62,Astellas Pharma Inc.,YPH,12.45,Biopharmaceutical Researcher,,
63,Sigma Healthcare Ltd.,S5YA,1.75,Pharmaceutical Wholesaler Retailer,,
64,DexCom Inc,DXCM,60.98,Biotechnology,https://finviz.com/quote?t=DXCM&p=d,DXCM - Dexcom Inc Stock Price and Quote
65,Royalty Pharma,RPRX,50.18,Pharmaceuticals,https://finviz.com/quote?t=RPRX&p=d,RPRX - Royalty Pharma plc Stock Price and Quote
66,West Pharmaceutical Services,WST,319.57,Pharmaceutical,https://finviz.com/quote?t=WST&p=d,WST - West Pharmaceutical Services Inc Stock Price and Quote
67,Illumina,ILMN,138.06,Genetic Analysis,https://finviz.com/quote?t=ILMN&p=d,ILMN - Illumina Inc Stock Price and Quote
68,Laboratory Corporation of America,LH,255.75,,https://finviz.com/quote?t=LH&p=d,LH - Labcorp Holdings Inc Stock Price and Quote
69,Steris,STE,219.32,Healthcare,https://finviz.com/quote?t=STE&p=d,STE - Steris Plc Stock Price and Quote
70,Quest Diagnostics,DGX,186.5,Diagnostics v,https://finviz.com/quote?t=DGX&p=d,DGX - Quest Diagnostics Inc Stock Price and Quote
71,Roivant Sciences Ltd.,ROIV,28.6,Biotechnology,https://finviz.com/quote?t=ROIV&p=d,ROIV - Roivant Sciences Ltd Stock Price and Quote
72,Incyte,INCY,97.66,Biotechnology,https://finviz.com/quote?t=INCY&p=d,INCY - Incyte Corp Stock Price and Quote
73,Moderna,MRNA,48.62,Biotechnology,https://finviz.com/quote?t=MRNA&p=d,MRNA - Moderna Inc Stock Price and Quote
74,Terumo Corp.,TUO,10.72,Medical Device Manufacturer,,
75,Viatris,VTRS,16.68,Healthcare,https://finviz.com/quote?t=VTRS&p=d,VTRS - Viatris Inc Stock Price and Quote
76,Sartorius AG VZ,SRT3,219.85,Pharmaceuticals,,
77,Straumann Holding AG,QS51,94.04,Dental Equipment,,
78,Shionogi & Co. Ltd.,SHO,17.38,Research-Driven Pharmaceutical C...,https://finviz.com/quote?t=SHO&p=d,SHO - Sunstone Hotel Investors Inc Stock Price and Quote
79,Tenet Healthcare,THC,195,Healthcare,https://finviz.com/quote?t=THC&p=d,THC - Tenet Healthcare Corp Stock Price and Quote
80,Zimmer Biomet,ZBH,83,Medical Devices,https://finviz.com/quote?t=ZBH&p=d,ZBH - Zimmer Biomet Holdings Inc Stock Price and Quote
81,VW Neurocrine Biosciences,NBIX,149.57,Pharmaceuticals,https://finviz.com/quote?t=NBIX&p=d,NBIX - Neurocrine Biosciences Inc Stock Price and Quote
82,Coloplast AS B,CBHD,54.85,Healthcare,,
83,Sartorius AG,SRT3,176.9,Biopharmaceutical equipment and...,,
84,Jazz Pharmaceuticals,JAZZ,225.5,Pharmaceuticals v,https://finviz.com/quote?t=JAZZ&p=d,JAZZ - Jazz Pharmaceuticals plc Stock Price and Quote
85,Sonova Holding AG,PHBN,196.62,Hearing care technology manuf...,,
86,Summit Therapeutics,SMMT,17,: Biotech,https://finviz.com/quote?t=SMMT&p=d,SMMT - Summit Therapeutics Inc Stock Price and Quote
87,Bridgebio Pharma,BBIO,68,Biotech V,https://finviz.com/quote?t=BBIO&p=d,BBIO - BridgeBio Pharma Inc Stock Price and Quote
88,Elanco Animal Health,ELAN,23.9,: Pharmaceuticals V,https://finviz.com/quote?t=ELAN&p=d,ELAN - Elanco Animal Health Inc Stock Price and Quote
89,Penumbra,PEN,331.6,Medical,https://finviz.com/quote?t=PEN&p=d,PEN - Penumbra Inc Stock Price and Quote
90,Pharmaceuticals,IONS,75.25,Biotech V,https://finviz.com/quote?t=IONS&p=d,IONS - Ionis Pharmaceuticals Inc Stock Price and Quote
91,Align Technology,ALGN,171.83,Invisalign,https://finviz.com/quote?t=ALGN&p=d,ALGN - Align Technology Inc Stock Price and Quote
92,Nita DaVita HealthCare Partners,DVA,195.94,Healthcare,https://finviz.com/quote?t=DVA&p=d,DVA - DaVita Inc Stock Price and Quote
93,Madrigal Pharmaceuticals,MDGL,517,Biotech,https://finviz.com/quote?t=MDGL&p=d,MDGL - Madrigal Pharmaceuticals Inc Stock Price and Quote
94,Solventum Corp,SOLV,70.42,Healthcare,https://finviz.com/quote?t=SOLV&p=d,SOLV - Solventum Corp Stock Price and Quote
